"PTEN_type","OUT_type","both","PTEN_only","OUT_only","neither","p_val","log2_lower","log2_upper","log2_odds_ratio","combination"
"PTENpoint_pres","TP53_OUT_MUT",372,247,24721,6893,"0",-1.49086158428229,-1.01042497941909,-1.25153876699596,"PTENpoint_pres TP53_OUT_MUT"
"PTENsplice","APC_OUT_ANY",32,89,5735,26377,"0.0173",0.0932897300014767,1.32498337092454,0.725610293875998,"PTENsplice APC_OUT_ANY"
"PTENsplice","KRAS_OUT_ANY",75,46,16304,15808,"0.0139",0.11116488907889,1.22385498470325,0.660654852035228,"PTENsplice KRAS_OUT_ANY"
"PTENsplice","PIK3CA_OUT_ANY",32,89,5735,26377,"0.0173",0.0932897300014767,1.32498337092454,0.725610293875998,"PTENsplice PIK3CA_OUT_ANY"
"PTENsplice","SMAD4_OUT_ANY",37,84,5426,26686,"2e-04",0.514501036274285,1.69122147266692,1.11523304836736,"PTENsplice SMAD4_OUT_ANY"
"PTENsplice","TP53_OUT_DEL",0,121,0,32112,"1",-Inf,Inf,-Inf,"PTENsplice TP53_OUT_DEL"
"PTENsplice","TP53_OUT_MUT",82,39,25011,7101,"0.0112",-1.31258092262811,-0.153927970369542,-0.744197163397282,"PTENsplice TP53_OUT_MUT"
"PTENtrunc","APC_OUT_ANY",199,581,5553,25865,"0",0.430499386222592,0.912496582381028,0.673827751773452,"PTENtrunc APC_OUT_ANY"
"PTENtrunc","KRAS_OUT_ANY",495,285,15861,15557,"0",0.552868871011303,0.986301704994124,0.768501947434259,"PTENtrunc KRAS_OUT_ANY"
"PTENtrunc","PIK3CA_OUT_ANY",199,581,5553,25865,"0",0.430499386222592,0.912496582381028,0.673827751773452,"PTENtrunc PIK3CA_OUT_ANY"
"PTENtrunc","SMAD4_OUT_ANY",169,611,5282,26136,"6e-04",0.194591402773734,0.704694935799049,0.452700852483844,"PTENtrunc SMAD4_OUT_ANY"
"PTENtrunc","TP53_OUT_DEL",0,780,0,31418,"1",-Inf,Inf,-Inf,"PTENtrunc TP53_OUT_DEL"
"PTENtrunc","TP53_OUT_MUT",478,302,24602,6816,"0",-1.40392357628949,-0.972845948496273,-1.18935125221735,"PTENtrunc TP53_OUT_MUT"
"PTENtrunc_pres","APC_OUT_ANY",214,601,5553,25865,"0",0.494057132313682,0.961401073164279,0.729879012125935,"PTENtrunc_pres APC_OUT_ANY"
"PTENtrunc_pres","KRAS_OUT_ANY",518,297,15861,15557,"0",0.563353405855311,0.987830176537273,0.774502445109659,"PTENtrunc_pres KRAS_OUT_ANY"
"PTENtrunc_pres","PIK3CA_OUT_ANY",214,601,5553,25865,"0",0.494057132313682,0.961401073164279,0.729879012125935,"PTENtrunc_pres PIK3CA_OUT_ANY"
"PTENtrunc_pres","SMAD4_OUT_ANY",181,634,5282,26136,"1e-04",0.248170473201803,0.742868551024443,0.498353001614512,"PTENtrunc_pres SMAD4_OUT_ANY"
"PTENtrunc_pres","TP53_OUT_DEL",0,815,0,31418,"1",-Inf,Inf,-Inf,"PTENtrunc_pres TP53_OUT_DEL"
"PTENtrunc_pres","TP53_OUT_MUT",491,324,24602,6816,"0",-1.46116389225853,-1.04126866243216,-1.25188230671443,"PTENtrunc_pres TP53_OUT_MUT"
