"alleleFreq_SV","htsp_trunc","htsp_point","Assigned"
0.0145,0,1,"MT-L"
0.2898,0,0,"MT-H"
0.272,1,0,"MT-H"
0.5518,1,0,"MT-L"
0.0388,0,1,"MT-L"
0.0538,0,0,"MT-L"
0.0803,1,0,"MT-H"
0.1689,0,0,"MT-L"
0.0221,1,0,"MT-L"
0.2208,1,0,"MT-H"
0.3882,1,0,"MT-H"
0.3817,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2298,0,0,"MT-L"
0.2723,0,0,"MT-L"
NA,0,0,"MT-H"
0.2253,1,0,"MT-H"
0.5102,0,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1788,0,1,"MT-L"
0.1873,1,0,"MT-L"
0.2523,1,0,"MT-H"
0.2695,1,0,"MT-H"
0.3343,1,0,"MT-H"
0.4735,0,0,"MT-L"
0.2586,1,0,"MT-L"
NA,0,0,"MT-L"
0.1146,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.6068,0,0,"MT-L"
NA,0,0,"MT-L"
0.3304,0,1,"MT-L"
NA,0,0,"MT-L"
0.0824,0,1,"MT-L"
0.3267,0,1,"MT-H"
0.2888,0,1,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.5501,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.6739,1,0,"MT-L"
0.362,0,0,"MT-L"
NA,0,0,"MT-L"
0.3567,0,0,"MT-L"
NA,0,0,"MT-L"
0.3101,1,0,"MT-L"
NA,0,0,"MT-L"
0.414,0,0,"MT-L"
0.1288,0,0,"MT-L"
0.205,1,0,"MT-L"
0.1046,1,0,"MT-H"
0.2664,0,0,"MT-L"
0.16,1,0,"MT-H"
NA,0,0,"MT-L"
0.0168,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2615,1,0,"MT-L"
NA,0,0,"MT-L"
0.1939,1,0,"MT-H"
0.209,1,0,"MT-H"
0.2563,0,0,"MT-L htmb"
0.2754,0,1,"MT-L htmb"
0.2547,0,1,"MT-L htmb"
NA,0,0,"MT-L"
0.1504,0,0,"MT-L"
0.152,0,1,"MT-L htmb"
0.1089,1,0,"MT-L"
0.081,0,0,"MT-L"
0.147,0,1,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.0462,1,0,"MT-L"
NA,0,0,"MT-L"
0.3128,0,0,"MT-L"
NA,0,0,"MT-L"
0.2005,0,0,"MT-L"
0.2173,1,0,"MT-H"
0.2085,1,0,"MT-H"
0.0978,0,0,"MT-L"
0.2244,1,0,"MT-H"
0.1667,1,0,"MT-H"
NA,0,0,"MT-L"
0.5684,0,1,"MT-L"
0.0917,1,0,"MT-L"
0.2502,1,0,"MT-H"
0.2599,0,1,"MT-H"
0.5376,0,1,"MT-L"
0.1457,1,0,"MT-H"
0.2061,1,0,"MT-H"
0.0709,0,1,"MT-L"
0.4285,0,0,"MT-H"
0.0682,0,0,"MT-H"
0.2098,0,0,"MT-H"
0.2283,0,1,"MT-H"
NA,0,0,"MT-L"
0.2023,0,0,"MT-H"
0.1663,1,0,"MT-H"
NA,0,0,"MT-L htmb"
0.2541,0,1,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.6324,0,1,"MT-L"
0.0956,1,0,"MT-L"
0.0867,0,0,"MT-L"
0.2082,1,0,"MT-L"
0.6805,1,0,"MT-L"
0.4972,1,0,"MT-L"
0.4593,0,0,"MT-L"
0.3874,0,1,"MT-L"
0.122,0,1,"MT-L"
0.4635,1,0,"MT-H"
0.1062,0,0,"MT-L"
0.1458,1,0,"MT-H"
0.1181,1,0,"MT-H"
0.0109,0,0,"MT-H"
0.0705,1,0,"MT-H"
NA,0,0,"MT-L"
0.4659,0,1,"MT-L"
0.3463,0,0,"MT-L"
0.3576,0,0,"MT-L"
0.3772,0,1,"MT-L"
0.24,1,0,"MT-L"
0.1072,1,0,"MT-L"
0.7424,0,1,"MT-H"
0.4173,0,0,"MT-L"
0.2375,1,0,"MT-H"
0.224,1,0,"MT-H"
NA,0,0,"MT-L"
0.3523,0,0,"MT-L"
0.4189,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2811,1,0,"MT-H"
0.3398,0,1,"MT-H"
NA,0,0,"MT-L"
0.2814,1,0,"MT-H"
NA,0,0,"MT-L"
0.102,0,0,"MT-H"
NA,0,0,"MT-L"
0.2014,0,0,"MT-H"
NA,0,0,"MT-L"
0.2727,1,0,"MT-L"
0.3876,1,0,"MT-L"
0.3179,0,1,"MT-L"
0.1083,0,1,"MT-L"
0.0225,0,1,"MT-L"
0.344,0,0,"MT-L"
0.3614,0,0,"MT-L"
0.4509,0,1,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2437,0,1,"MT-L"
NA,0,0,"MT-L"
0.6778,1,0,"MT-L"
0.2888,1,0,"MT-H"
0.1389,1,0,"MT-H"
0.11,1,0,"MT-H"
0.1057,1,0,"MT-H"
0.107,0,1,"MT-H"
0.134,1,0,"MT-H"
0.5445,1,0,"MT-L"
NA,0,0,"MT-L"
0.096,1,0,"MT-H"
0.1085,1,0,"MT-H"
0.6702,1,0,"MT-H"
0.3605,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2697,0,1,"MT-H"
0.229,1,0,"MT-H"
