"stage","msi","sample_count","mutated_sample_count","proportion_of_mutations","standard_error","confidence_interval_lower_bound","confidence_interval_upper_bound"
1,"MSI-H",451,58,0.12860310421286,0.015763238957724,0.0977071558557213,0.159499052569999
1,"MSS",990,43,0.0434343434343434,0.00647823093172968,0.0307370108081533,0.0561316760605336
4,"MSI-H",345,48,0.139130434782609,0.0186324601361197,0.102610812915814,0.175650056649403
4,"MSS",2221,63,0.0283656010805943,0.00352267970300003,0.0214611488627143,0.0352700532984744
