"gene","LOF_mave","odds_ratio_LOF_mave","upper_LOF_mave","lower_LOF_mave","LOF_vamp","odds_ratio_LOF_vamp","upper_LOF_vamp","lower_LOF_vamp","LOF_consensus","odds_ratio_LOF_consensus","upper_LOF_consensus","lower_LOF_consensus","WT_mave","odds_ratio_WT_mave","upper_WT_mave","lower_WT_mave","WT_vamp","odds_ratio_WT_vamp","upper_WT_vamp","lower_WT_vamp","WT_consensus","odds_ratio_WT_consensus","upper_WT_consensus","lower_WT_consensus"
"APC_OUT_ANY",0.3,0.21,0.17,0.17,1.3,0.38,0.5,0.48,2.3,0.2,0.13,0.12,0.6,0.46,1.1,0.97,1.6,0.56,0.99,0.88,2.6,0.36,1.58,1.32
"BRAF_OUT_ANY",3.3,1.12,0.18,0.19,4.3,1.93,0.46,0.48,5.3,1.09,0.13,0.14,3.6,1.29,1,1.15,4.6,1.22,0.91,1.03,5.6,1.23,1.41,1.74
"KRAS_OUT_ANY",6.3,0.68,0.14,0.13,7.3,0.86,0.39,0.39,8.3,0.67,0.1,0.1,6.6,0.52,0.79,0.78,7.6,1.15,0.75,0.72,8.6,0.14,1.11,1.12
"PIK3CA_OUT_ANY",9.3,1,0.14,0.15,10.3,1.07,0.41,0.43,11.3,0.99,0.11,0.11,9.6,1.05,0.83,0.89,10.6,1.36,0.72,0.75,11.6,0.49,1.26,1.46
"PIK3R1_OUT_ANY",12.3,2.4,0.19,0.19,13.3,1.71,0.63,0.68,14.3,2.44,0.14,0.14,12.6,1.59,1.23,1.52,13.6,2.66,0.87,0.97,14.6,1.53,1.71,2.37
"SMAD4_OUT_ANY",15.3,0.52,0.16,0.16,16.3,0.86,0.42,0.43,17.3,0.5,0.11,0.12,15.6,-0.23,1,1.15,16.6,-0.3,0.91,1.03,17.6,-0.67,1.52,1.98
"TP53_OUT_DEL",18.3,0.43,0.68,0.77,19.3,-Inf,Inf,NA,20.3,0.41,0.5,0.54,18.6,-Inf,Inf,NA,19.6,-Inf,Inf,NA,20.6,-Inf,Inf,NA
"TP53_OUT_MUT",21.3,-1.31,0.13,0.13,22.3,-1.36,0.39,0.39,23.3,-1.31,0.1,0.1,21.6,-0.25,0.93,0.86,22.6,-0.72,0.76,0.72,23.6,-0.43,0.94,0.87
