"OUT_type","LOF","odds_ratio_LOF","upper_LOF","lower_LOF","WT","odds_ratio_WT","upper_WT","lower_WT","DEL","odds_ratio_DEL","upper_DEL","lower_DEL","ANY","odds_ratio_ANY","upper_ANY","lower_ANY"
"APC",1,0.34,0.16,0.16,2.4,0.73,0.56,0.57,1.7,-0.75,0.2,0.2,0.3,-0.08,0.12,0.12
"BRAF",4,NA,NA,NA,5.4,NA,NA,NA,4.7,NA,NA,NA,3.3,NA,NA,NA
"KRAS",7,0.85,0.16,0.16,8.4,0.29,0.57,0.56,7.7,0.37,0.17,0.17,6.3,0.63,0.11,0.11
"PIK3CA",10,0.82,0.18,0.18,11.4,0.82,0.61,0.65,10.7,-0.51,0.24,0.25,9.3,0.32,0.13,0.14
"PIK3R1",13,NA,NA,NA,14.4,NA,NA,NA,13.7,NA,NA,NA,12.3,NA,NA,NA
"SMAD4",16,0.51,0.18,0.18,17.4,0,0.68,0.73,16.7,0.58,0.19,0.19,15.3,0.54,0.12,0.12
"TP53_DEL",19,0.28,0.83,0.97,20.4,-Inf,Inf,NA,19.7,1.87,0.56,0.61,18.3,1.11,0.48,0.51
"TP53_MUT",22,-1.38,0.16,0.16,23.4,-0.21,0.67,0.63,22.7,-0.41,0.19,0.19,21.3,-0.96,0.12,0.12
