"OUT_type","LOF","odds_ratio_LOF","upper_LOF","lower_LOF","WT","odds_ratio_WT","upper_WT","lower_WT","DEL","odds_ratio_DEL","upper_DEL","lower_DEL","ANY","odds_ratio_ANY","upper_ANY","lower_ANY"
"APC",1,0.37,0.47,0.44,2.4,0.36,1.58,1.32,1.7,0.11,0.59,0.56,0.3,0.26,0.33,0.32
"BRAF",4,1.81,0.44,0.46,5.4,1.23,1.41,1.74,4.7,1.14,0.65,0.7,3.3,1.58,0.35,0.36
"KRAS",7,0.95,0.37,0.36,8.4,0.14,1.11,1.12,7.7,0.61,0.48,0.47,6.3,0.83,0.27,0.27
"PIK3CA",10,1.17,0.38,0.39,11.4,0.49,1.26,1.46,10.7,-0.7,0.72,0.8,9.3,0.61,0.31,0.32
"PIK3R1",13,1.97,0.56,0.6,14.4,1.53,1.71,2.37,13.7,1.53,0.79,0.89,12.3,1.87,0.44,0.46
"SMAD4",16,0.75,0.39,0.41,17.4,-0.67,1.52,1.98,16.7,0.59,0.53,0.56,15.3,0.61,0.3,0.3
"TP53_DEL",19,-Inf,Inf,NA,20.4,-Inf,Inf,NA,19.7,2.15,1.67,2.35,18.3,0.37,1.65,2.34
"TP53_MUT",22,-1.39,0.36,0.36,23.4,1.05,1.98,1.52,22.7,-0.1,0.57,0.54,21.3,-0.89,0.28,0.27
