"OUT_type","LOF","odds_ratio_LOF","upper_LOF","lower_LOF","WT","odds_ratio_WT","upper_WT","lower_WT","DEL","odds_ratio_DEL","upper_DEL","lower_DEL","ANY","odds_ratio_ANY","upper_ANY","lower_ANY"
"APC",1,0.72,0.2,0.2,2.4,0.94,0.71,0.75,1.7,-0.49,0.26,0.27,0.3,0.24,0.15,0.15
"BRAF",4,NA,NA,NA,5.4,NA,NA,NA,4.7,NA,NA,NA,3.3,NA,NA,NA
"KRAS",7,0.81,0.18,0.18,8.4,0.36,0.68,0.67,7.7,0.29,0.18,0.18,6.3,0.57,0.12,0.12
"PIK3CA",10,0.72,0.2,0.2,11.4,0.94,0.71,0.75,10.7,-0.49,0.26,0.27,9.3,0.24,0.15,0.15
"PIK3R1",13,NA,NA,NA,14.4,NA,NA,NA,13.7,NA,NA,NA,12.3,NA,NA,NA
"SMAD4",16,0.44,0.2,0.2,17.4,0.2,0.76,0.83,16.7,0.56,0.2,0.2,15.3,0.51,0.14,0.14
"TP53_DEL",19,0.46,0.84,0.98,20.4,-Inf,Inf,NA,19.7,1.77,0.6,0.65,18.3,1.15,0.5,0.53
"TP53_MUT",22,-1.38,0.18,0.18,23.4,-0.58,0.75,0.71,22.7,-0.47,0.2,0.2,21.3,-0.98,0.13,0.13
